id,drawing_number,revision,part_name,customer_name,item_code,r2_key,file_name,type,is_active,created_at,created_by,issue_date,package_size,oil_group,pallet_type,boxes_per_pallet,shelf_life,item_number
77bfa7e8-f7c3-47ec-b508-9c1f5966e2cd,D-0418,01,ENEOS SUPER FULLY SYN COMMONRAIL 5W-40,ENEOS,40001940,drawing/D-0418_rev01_1783928226900.pdf,40001940 D-0418 rev.01 ENEOS SUPER FULLY SYN COMMONRAIL 5W-40.pdf,drawing,true,2026-07-13 07:37:07.878286+00,yeanyeen,2025-03-04,1 x 12 L.,ENGINE OIL,,50,4 years,
78474d16-3c0a-44d7-96cf-410a2003899c,D-0417,00,ENEOS SUPER FULLY SYN COMMONRAIL 5W-40+PREMIUM,ENEOS,40001939,drawing/D-0417_rev00_1783928220595.pdf,40001939 D-0417 rev.00 ENEOS SUPER FULLY SYN COMMONRAIL 5W-40+PREMIUM.pdf,drawing,false,2026-07-13 07:37:03.877362+00,yeanyeen,2024-10-02,3 x 6 + 1 L.,ENGINE OIL,,24,,
7bc7f3c7-2ad3-4339-9b9e-e427e653350a,D-0360,02,ENEOS X PRIME CVTF,ENEOS,40001799,drawing/D-0360_rev02_1784096113501.pdf,40001799 D-0360 rev.02 ENEOS X PRIME CVTF.pdf,drawing,true,2026-07-15 06:15:14.784324+00,yeanyeen,2024-05-29,1 x 12 L.,,,,,
7d3c2b8c-fcaa-41b8-b29a-1c83f7a8de53,E-0030,03,ENEOS 4T SL/MB 10W-30 (NOEA),ENEOS,40001515,drawing/E-0030_rev03_1784096748305.pdf,40001515 E-0030 rev.03 ENEOS 4T SL/MB 10W-30 (NOEA).pdf,drawing,true,2026-07-15 06:25:48.894366+00,yeanyeen,2024-09-06,0.8 x 24 L.,ENGINE OIL,,20,,
7ec50e17-c319-4171-9be1-54be350ff25d,D-0379,00,ENEOS X PRIME 5W-30 +POLO,ENEOS,40001837,drawing/D-0379_rev00_1783929489063.pdf,40001837 D-0379 rev.00 ENEOS X PRIME 5W-30 +POLO.pdf,drawing,false,2026-07-13 07:58:10.355743+00,yeanyeen,2023-05-22,4 x 4 L.,,,24,,
7f37ffc0-d94c-4a7c-b705-907ffd058e4b,D-0150,04,HONDA P. GOLD 4AT JASO MB 10W-30,ENEOS,40001662,drawing/D-0150_rev04_1784096075824.pdf,40001662 D-0150 rev.04 HONDA P. GOLD 4AT JASO MB 10W-30.pdf,drawing,true,2026-07-15 06:14:37.055806+00,yeanyeen,2023-08-10,0.8 x 12 L.,ENGINE OIL,,5,,
8001ee6b-0291-47bd-9a31-427cfecb4911,D-0210,06,SUZUKI ECSTAR V5000 10W-40,ENEOS,40001445,drawing/D-0210_rev06_1784096734065.pdf,40001445 D-0210 rev.06 SUZUKI ECSTAR V5000 10W-40.pdf,drawing,true,2026-07-15 06:25:34.672658+00,yeanyeen,2024-09-20,1 x 24 L.,ENGINE OIL,,20,,
807dd144-a0c0-4d29-af88-5b671d225469,D-0442,01,Yamalube 4AT MB SAE40,ENEOS,40002085,drawing/D-0442_rev01_1784008957844.pdf,40002085 D-0442 rev.01 Yamalube 4AT MB SAE40.pdf,drawing,true,2026-07-14 06:02:39.136618+00,yeanyeen,2026-05-26,0.8 x 12 L.,ENGINE OIL,,55,2 years,
81b1821a-0f32-4a50-867f-b92000fb1443,D-0373,03,ENEOS 4AT MB 10W40 + Premium,ENEOS,40001828,drawing/D-0373_rev03_1783929091379.pdf,40001828 D-0373 rev.03 ENEOS 4AT MB 10W40 + Premium.pdf,drawing,false,2026-07-13 07:51:32.323685+00,yeanyeen,2025-01-21,0.8 x 12 L.,,พลาสติก,55,2 years,
825fdc56-f1de-4eb4-bc3e-c9e9175eaf14,D-0209,06,SUZUKI ECSTAR V7000 10W-40,ENEOS,40001444,drawing/D-0209_rev06_1784096729894.pdf,40001444 D-0209 rev.06 SUZUKI ECSTAR V7000 10W-40.pdf,drawing,false,2026-07-15 06:25:30.508432+00,yeanyeen,2023-09-12,4 x 4 L.,ENGINE OIL,ไม้,40,,
